Sn,movie_title,director_name,genres,imdb_score,budget
1,Avatar,James Cameron,Action|Adventure|Fantasy|Sci-Fi,7.9,237000000
2,Pirates of the Caribbean: At World's End,Gore Verbinski,Action|Adventure|Fantasy,7.1,300000000
3,Spectre,Sam Mendes,Action|Adventure|Thriller,6.8,245000000
4,The Dark Knight Rises,Christopher Nolan,Action|Thriller,8.5,250000000
6,John Carter,Andrew Stanton,Action|Adventure|Sci-Fi,6.6,263700000
7,Spider-Man 3,Sam Raimi,Action|Adventure|Romance,6.2,258000000
8,Tangled,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,260000000
9,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Sci-Fi,7.5,250000000
10,Harry Potter and the Half-Blood Prince,David Yates,Adventure|Family|Fantasy|Mystery,7.5,250000000
11,Batman v Superman: Dawn of Justice,Zack Snyder,Action|Adventure|Sci-Fi,6.9,250000000
12,Superman Returns,Bryan Singer,Action|Adventure|Sci-Fi,6.1,209000000
13,Quantum of Solace,Marc Forster,Action|Adventure,6.7,200000000
14,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Action|Adventure|Fantasy,7.3,225000000
15,The Lone Ranger,Gore Verbinski,Action|Adventure|Western,6.5,215000000
16,Man of Steel,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,7.2,225000000
17,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Action|Adventure|Family|Fantasy,6.6,225000000
18,The Avengers,Joss Whedon,Action|Adventure|Sci-Fi,8.1,220000000
19,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Action|Adventure|Fantasy,6.7,250000000
20,Men in Black 3,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6.8,225000000
21,The Hobbit: The Battle of the Five Armies,Peter Jackson,Adventure|Fantasy,7.5,250000000
22,The Amazing Spider-Man,Marc Webb,Action|Adventure|Fantasy,7,230000000
23,Robin Hood,Ridley Scott,Action|Adventure|Drama|History,6.7,200000000
24,The Hobbit: The Desolation of Smaug,Peter Jackson,Adventure|Fantasy,7.9,225000000
25,The Golden Compass,Chris Weitz,Adventure|Family|Fantasy,6.1,180000000
26,King Kong,Peter Jackson,Action|Adventure|Drama|Romance,7.2,207000000
27,Titanic,James Cameron,Drama|Romance,7.7,200000000
28,Captain America: Civil War,Anthony Russo,Action|Adventure|Sci-Fi,8.2,250000000
29,Battleship,Peter Berg,Action|Adventure|Sci-Fi|Thriller,5.9,209000000
30,Jurassic World,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,7,150000000
31,Skyfall,Sam Mendes,Action|Adventure|Thriller,7.8,200000000
32,Spider-Man 2,Sam Raimi,Action|Adventure|Fantasy|Romance,7.3,200000000
33,Iron Man 3,Shane Black,Action|Adventure|Sci-Fi,7.2,200000000
34,Alice in Wonderland,Tim Burton,Adventure|Family|Fantasy,6.5,200000000
35,X-Men: The Last Stand,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.8,210000000
36,Monsters University,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,7.3,200000000
37,Transformers: Revenge of the Fallen,Michael Bay,Action|Adventure|Sci-Fi,6,200000000
38,Transformers: Age of Extinction,Michael Bay,Action|Adventure|Sci-Fi,5.7,210000000
39,Oz the Great and Powerful,Sam Raimi,Adventure|Family|Fantasy,6.4,215000000
40,The Amazing Spider-Man 2,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,6.7,200000000
41,TRON: Legacy,Joseph Kosinski,Action|Adventure|Sci-Fi,6.8,170000000
42,Cars 2,John Lasseter,Adventure|Animation|Comedy|Family|Sport,6.3,200000000
43,Green Lantern,Martin Campbell,Action|Adventure|Sci-Fi,5.6,200000000
44,Toy Story 3,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,8.3,200000000
45,Terminator Salvation,McG,Action|Adventure|Sci-Fi,6.6,200000000
46,Furious 7,James Wan,Action|Crime|Thriller,7.2,190000000
47,World War Z,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,7,190000000
48,X-Men: Days of Future Past,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,8,200000000
49,Star Trek Into Darkness,J.J. Abrams,Action|Adventure|Sci-Fi,7.8,190000000
50,Jack the Giant Slayer,Bryan Singer,Adventure|Fantasy,6.3,195000000
51,The Great Gatsby,Baz Luhrmann,Drama|Romance,7.3,105000000
52,Prince of Persia: The Sands of Time,Mike Newell,Action|Adventure|Fantasy|Romance,6.6,200000000
53,Pacific Rim,Guillermo del Toro,Action|Adventure|Sci-Fi,7,190000000
54,Transformers: Dark of the Moon,Michael Bay,Action|Adventure|Sci-Fi,6.3,195000000
55,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Action|Adventure|Fantasy,6.2,185000000
57,Brave,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,7.2,185000000
58,Star Trek Beyond,Justin Lin,Action|Adventure|Sci-Fi|Thriller,7.5,185000000
59,WALL·E,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,8.4,180000000
60,Rush Hour 3,Brett Ratner,Action|Comedy|Crime|Thriller,6.2,140000000
61,2012,Roland Emmerich,Action|Adventure|Sci-Fi,5.8,200000000
62,A Christmas Carol,Robert Zemeckis,Animation|Drama|Family|Fantasy,6.8,200000000
63,Jupiter Ascending,Lana Wachowski,Action|Adventure|Sci-Fi,5.4,176000000
64,The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,6.6,180000000
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Adventure|Family|Fantasy,6.9,180000000
66,X-Men: Apocalypse,Bryan Singer,Action|Adventure|Sci-Fi,7.3,178000000
67,The Dark Knight,Christopher Nolan,Action|Crime|Drama|Thriller,9,185000000
68,Up,Pete Docter,Adventure|Animation|Comedy|Family,8.3,175000000
